ARG,Argentina,GAFI
AUS,Australia,GAFI
AUT,Austria,GAFI
BEL,Belgium,GAFI
BRA,Brazil,GAFI
CAN,Canada,GAFI
CHN,China,GAFI
DNK,Denmark,GAFI
EU,European Commission,GAFI
FIN,Finland,GAFI
FRA,France,GAFI
DEU,Germany,GAFI
GRC,Greece,GAFI
,Gulf Co-operation Council,GAFI
HKG,"Hong Kong, China",GAFI
ISL,Iceland,GAFI
IND,India,GAFI
IRL,Ireland,GAFI
ISR,Israel,GAFI
ITA,Italy,GAFI
JPN,Japan,GAFI
KOR,Republic of Korea  ,GAFI
LUX,Luxembourg,GAFI
MYS,Malaysia,GAFI
MEX,Mexico,GAFI
NLD,"Netherlands, Kingdom of",GAFI
NZL,New Zealand,GAFI
NOR,Norway,GAFI
PRT,Portugal,GAFI
RUS,Russian Federation,GAFI
SGP,Singapore,GAFI
ZAF,South Africa,GAFI
ESP,Spain,GAFI
SWE,Sweden,GAFI
CHE,Switzerland,GAFI
TUR,Turkey,GAFI
GBR,United Kingdom,GAFI
USA,United States ,GAFI